#x, y, z, sqrtSum, milliseconds, timeInMilliseconds
7.77165, -5.97009, 0.0211914, 9.80005, 85, 85
7.79851, -5.96634, 0.0784605, 9.81937, 84, 84
7.83999, -5.94926, 0.172666, 9.84322, 92, 93
7.85187, -6.06042, 0.27066, 9.92239, 74, 73
7.62548, -6.06191, 0.149506, 9.74254, 86, 86
8.14958, -5.94776, 0.0691018, 10.0894, 83, 83
7.97469, -5.80429, 0.0164806, 9.86335, 85, 86
7.76273, -5.77856, -0.0444055, 9.67749, 82, 81
7.98569, -5.85463, 0.241874, 9.90487, 86, 86
7.81098, -5.79512, 0.321917, 9.73131, 84, 84
8.01786, -5.9688, 0.220747, 9.99807, 83, 83
7.93344, -6.08671, 0.17033, 10.0008, 83, 84
7.71005, -6.19709, 0.0506846, 9.89199, 88, 88
7.66956, -5.99582, 0.171321, 9.7366, 81, 80
7.91017, -5.81858, 0.268324, 9.82337, 85, 85
8.06279, -6.03489, 0.143067, 10.0722, 85, 85
7.66817, -5.72166, 0.0461592, 9.56767, 83, 83
7.95454, -5.23442, 0.451411, 9.53298, 83, 83
7.84698, -5.72188, 0.375425, 9.71885, 84, 84
7.9364, -5.87491, 0.195939, 9.8762, 83, 83
7.81353, -6.2033, 0.196096, 9.97851, 86, 86
7.67899, -5.97422, 0.175848, 9.73083, 86, 88
7.53693, -5.99975, 0.217442, 9.63585, 82, 80
7.57298, -6.03654, 0.0342279, 9.68458, 83, 83
7.94811, -6.01779, 0.165049, 9.97063, 85, 85
7.93753, -5.86233, 0.280378, 9.87167, 83, 83
7.8711, -5.83828, 0.170382, 9.80147, 84, 84
8.08608, -5.83133, 0.00884067, 9.96942, 83, 83
7.67714, -5.92896, 0.0635078, 9.70026, 88, 88
8.06598, -5.8794, -0.0702961, 9.98159, 81, 81
7.85228, -5.80877, -0.18621, 9.76908, 85, 84
8.0002, -5.5782, -0.098156, 9.75342, 85, 86
8.15781, -5.47457, 0.0373909, 9.82457, 81, 81
8.06528, -5.70289, -0.130625, 9.8787, 84, 85
8.08246, -5.72542, -0.123853, 9.90565, 85, 84
8.25417, -5.69841, 0.126276, 10.0309, 82, 82
7.69919, -5.54669, 0.443369, 9.49947, 86, 86
8.15594, -5.76152, 0.452762, 9.99597, 83, 83
7.97629, -5.66781, 0.396406, 9.79297, 85, 85
8.01146, -5.72038, 0.354167, 9.85047, 82, 82
7.98082, -5.72564, 0.345905, 9.82833, 84, 86
7.84171, -5.64527, 0.413865, 9.67123, 83, 82
7.88009, -5.62707, 0.447731, 9.6933, 85, 85
7.97324, -5.57017, 0.450669, 9.73665, 88, 89
8.04356, -5.57317, 0.401611, 9.79389, 80, 79
8.12657, -5.6633, 0.3729, 9.91227, 83, 83
8.14823, -5.64979, 0.387953, 9.92292, 85, 86
8.00686, -5.46427, 0.465704, 9.70489, 83, 82
8.09504, -5.46202, 0.500292, 9.77822, 83, 83
8.17879, -5.57018, 0.482135, 9.90717, 85, 85
8.20123, -5.39517, 0.464763, 9.82772, 84, 84
8.10027, -5.27725, 0.498764, 9.68052, 83, 84
8.39824, -5.40213, 0.534692, 9.99997, 84, 83
8.36861, -5.17586, 0.543729, 9.85489, 84, 85
8.20807, -5.31254, 0.340382, 9.78322, 84, 84
8.08256, -5.40416, 0.253821, 9.72611, 83, 83
8.31207, -5.27648, 0.249074, 9.84854, 83, 83
8.28084, -5.33505, 0.071204, 9.8509, 85, 85
8.20236, -5.26219, 0.0486545, 9.74534, 85, 86
8.29186, -5.28115, -0.0298159, 9.83088, 82, 83
8.51389, -5.16098, -0.0285245, 9.95605, 83, 82
8.58745, -5.00006, -0.0384225, 9.93712, 85, 85
8.56553, -4.69528, -0.110035, 9.76863, 84, 84
8.68591, -4.43614, -0.128264, 9.75402, 83, 83
8.91316, -4.29869, -0.0832506, 9.89596, 83, 84
8.63138, -4.27163, -0.182511, 9.63228, 85, 85
8.69413, -4.31746, -0.12602, 9.70794, 92, 92
8.65966, -4.24835, -0.0490937, 9.64576, 77, 77
8.80692, -4.34677, -0.0107729, 9.82122, 81, 81
9.05974, -4.42263, -0.116549, 10.0823, 86, 86
8.99694, -4.42038, -0.121014, 10.0249, 82, 82
8.8333, -4.43463, -0.232446, 9.88672, 84, 85
8.67335, -4.44439, -0.284321, 9.74989, 83, 83
8.8168, -4.30469, -0.189466, 9.81337, 85, 86
9.01704, -4.18903, -0.0335983, 9.94264, 84, 84
8.93255, -3.89832, -0.048623, 9.74626, 83, 83
8.99976, -3.72481, 0.0281968, 9.74016, 83, 83
8.94164, -3.73365, 0.123977, 9.69063, 86, 86
9.0303, -3.80745, 0.151054, 9.80132, 83, 83
9.00714, -3.96445, 0.142043, 9.84203, 84, 84
9.13214, -4.05007, 0.00850105, 9.98995, 83, 83
8.81903, -3.95615, -0.190252, 9.66761, 85, 85
8.66733, -3.95689, -0.264, 9.53148, 84, 84
8.7957, -3.93438, -0.0288915, 9.63559, 83, 84
8.6791, -3.78789, -0.068753, 9.46993, 83, 82
8.75596, -4.09664, 0.103088, 9.66747, 91, 91
8.64754, -4.38132, 0.125828, 9.69494, 78, 78
9.14303, -4.2086, 0.363555, 10.0717, 87, 88
9.00776, -4.3145, 0.292835, 9.99202, 80, 79
8.77663, -4.39127, 0.0985859, 9.81439, 85, 85
9.20304, -4.30548, 0.162998, 10.1617, 84, 84
9.09041, -4.00649, -0.149786, 9.93529, 83, 84
9.39932, -3.62114, -0.266216, 10.0762, 83, 82
10.0989, -3.41156, -0.627317, 10.678, 86, 85
9.15798, -3.40627, -0.467334, 9.78211, 83, 83
7.33436, -2.95023, -0.224397, 7.90867, 85, 85
8.98548, -2.97971, -1.03734, 9.52332, 85, 85
7.24726, -3.43397, -0.575653, 8.04029, 83, 83
6.50816, -6.1435, -0.0265625, 8.94983, 83, 84
5.27499, -5.12874, 0.188593, 7.35969, 84, 84
7.38981, -6.05396, -0.225689, 9.55566, 83, 83
8.38927, -6.04725, -0.238681, 10.3444, 86, 86
9.17335, -5.84075, 0.00333982, 10.875, 83, 82
9.29176, -4.80345, -0.334628, 10.4653, 85, 85
8.89715, -4.78013, -0.539364, 10.1143, 87, 88
9.54263, -3.25076, -0.805548, 10.1133, 79, 78
10.1753, -1.66718, -0.885461, 10.3489, 84, 84
9.87718, -2.49953, -1.131, 10.2511, 85, 85
9.27072, 0.107502, -1.25965, 9.35653, 83, 83
9.32327, -0.710691, -1.43615, 9.45996, 85, 85
9.8327, -1.99698, -0.772741, 10.0632, 83, 84
9.87402, -1.18633, -1.01721, 9.99692, 85, 84
10.1423, -2.453, -0.757906, 10.4622, 83, 84
10.0591, -2.24567, -0.516529, 10.3196, 82, 82
9.60486, -1.35182, -0.565939, 9.71602, 85, 85
8.70974, -0.296938, -0.525233, 8.73061, 85, 84
8.21479, -0.145078, -1.30842, 8.3196, 83, 83
9.237, -0.14586, -1.47759, 9.35557, 83, 83
9.34692, -0.443396, -1.46409, 9.47128, 85, 85
10.3152, -2.30275, -0.906653, 10.6079, 84, 84
10.6626, -1.85595, -0.815741, 10.8536, 83, 83
10.7332, -0.964971, -0.308381, 10.7809, 84, 85
10.5829, -0.894331, -0.424367, 10.6291, 84, 84
9.57049, -1.73046, -0.57794, 9.74283, 84, 84
9.821, -0.934101, -0.610667, 9.8842, 83, 83
9.76915, -0.244403, -0.381443, 9.77965, 83, 83
10.3951, -1.0506, -0.33068, 10.4533, 85, 85
10.9804, -0.883052, -0.732406, 11.0402, 85, 85
10.5404, -0.431501, -0.591771, 10.5658, 84, 84
10.0957, -0.492317, -0.853042, 10.1436, 81, 81
9.41059, -0.798083, -0.760371, 9.47493, 94, 95
10.0462, -1.02726, -0.758678, 10.1271, 76, 75
9.76396, -0.570479, -0.406293, 9.78904, 83, 84
9.56082, -0.518604, -0.691153, 9.59978, 83, 83
11.133, -0.677197, -0.756698, 11.1792, 85, 86
11.6376, -1.80412, -1.17869, 11.8355, 84, 83
8.97342, -1.43289, -1.0088, 9.14293, 83, 83
8.62132, -1.43828, -1.36902, 8.84704, 83, 84
8.21836, -0.531571, 0.190755, 8.23774, 85, 84
7.46299, -0.617154, -0.222425, 7.49177, 85, 85
8.59966, -1.2844, 0.203281, 8.69742, 82, 82
9.60772, -1.10802, 1.65971, 9.81278, 83, 83
11.7746, -0.784979, 0.846218, 11.831, 85, 85
8.90356, -1.05756, 0.624321, 8.98786, 83, 84
7.83443, 1.32723, 1.36357, 8.0622, 84, 83
10.221, 0.363297, 1.07511, 10.2838, 83, 83
8.6414, 0.509108, 1.35836, 8.76232, 85, 85
10.9207, 0.439725, 1.1227, 10.9871, 84, 84
9.11327, -0.161955, 0.208739, 9.11709, 83, 83
10.3358, -0.51208, -0.387208, 10.3557, 93, 94
9.93367, -0.27769, 0.122805, 9.93831, 75, 74
9.98285, -0.332557, 0.317247, 9.99342, 83, 83
10.5209, -0.772896, 0.773525, 10.5776, 85, 85
9.23843, -0.968109, -0.0709917, 9.28929, 85, 85
9.72806, -1.10038, 0.11402, 9.79076, 84, 83
9.9745, -0.403945, 0.455198, 9.99305, 82, 82
9.8407, -0.932866, 0.415419, 9.89354, 84, 83
10.005, -0.79555, 0.293161, 10.0409, 83, 83
9.86587, -0.965348, 0.381495, 9.92032, 86, 86
9.91258, -0.322032, 0.285653, 9.92192, 83, 83
9.5721, -1.0397, 0.251371, 9.63168, 85, 84
9.99304, -1.40561, 0.356541, 10.0977, 83, 83
10.1437, -1.01641, -0.0205461, 10.1945, 83, 82
9.24224, -1.11092, 0.668477, 9.33273, 85, 84
10.062, -1.50605, -0.314483, 10.179, 85, 85
9.42583, -1.67601, -0.0303785, 9.57372, 83, 83
9.6785, -1.658, 0.052313, 9.81963, 85, 86
9.92138, -1.44369, -0.271381, 10.0295, 83, 82
10.063, -0.812051, -0.0566761, 10.0958, 102, 104
9.82779, -1.00659, -0.480935, 9.8909, 66, 64
9.17122, -0.811073, -0.169708, 9.20858, 83, 83
9.53167, -0.227302, -0.231163, 9.53718, 85, 85
9.52464, -0.186157, -0.215312, 9.52889, 85, 85
10.2629, -0.615943, -0.323025, 10.2864, 83, 83
9.89966, -1.60898, -0.23214, 10.0322, 83, 83
8.97616, -1.03495, -0.256214, 9.03926, 85, 85
10.0316, -1.05998, -0.13051, 10.0883, 85, 85
10.0392, -1.17626, 0.034583, 10.108, 83, 83
9.60563, -1.65556, -0.0788123, 9.74757, 83, 82
9.64176, -1.58138, 0.154864, 9.77181, 86, 86
9.27295, -2.24249, 0.359542, 9.54702, 85, 85
8.83201, -2.32569, 0.442101, 9.14377, 82, 82
9.95857, -2.71882, 0.497635, 10.335, 83, 83
9.8684, -2.30936, 0.135117, 10.1359, 85, 85
9.27979, -2.31911, 0.238937, 9.56817, 84, 85
9.31473, -1.50926, 0.415972, 9.44538, 83, 82
10.0321, -1.49576, 0.235908, 10.1457, 83, 84
9.2199, -1.33194, 0.264537, 9.31937, 89, 89
10.6791, -1.18324, 0.0897919, 10.7448, 80, 80
10.0626, -1.2501, 0.365509, 10.1465, 84, 84
10.0152, -1.26567, 0.104722, 10.0954, 82, 82
9.55476, -0.975103, 0.405904, 9.61296, 85, 85
10.0379, -0.886996, -0.146379, 10.0781, 84, 85
9.75422, -0.436963, 0.10037, 9.76452, 83, 83
