#x, y, z, milliseconds, timeInMilliseconds
-0.232426, 0.107962, -0.0738419, 46, 46
-0.18402, 0.131639, 0.00530317, 52, 54
-0.122195, 0.0846212, -0.0656146, 43, 43
-0.0987027, -0.00943672, -0.0574486, 48, 48
-0.0741286, 0.0150456, -0.0423275, 47, 47
-0.0506711, 0.0225156, -0.017517, 47, 48
-0.0740405, 0.0457105, -0.0261656, 49, 49
-0.0666706, 0.0298142, -0.0262056, 46, 46
-0.0738461, 0.0225952, -0.010369, 47, 47
0.00484788, 0.0533223, 0.0372018, 48, 48
0.0660156, -0.033305, -0.1113, 48, 48
0.0122517, -0.0237063, 0.0293821, 47, 47
0.0435278, -0.0474039, -0.0330706, 49, 50
-0.0341202, 0.0302836, 0.0526346, 47, 46
0.0440165, -0.118001, 0.00571914, 48, 48
-0.0179357, -0.00011423, 0.0771192, 48, 48
0.0352358, -0.0471611, -0.00246938, 46, 47
0.0209377, -0.0554317, 0.0366087, 47, 47
-0.0664091, -0.0397058, -0.0107259, 48, 49
-0.0112119, 0.00679164, 0.0134192, 48, 48
0.00447587, 0.0530678, -0.00207087, 47, 47
-0.043874, 0.0759476, -0.0649463, 48, 49
0.0277958, 0.0151448, -0.00211266, 49, 49
0.0664699, -0.00115727, -0.0558572, 46, 46
0.106054, -0.0327365, -0.0164373, 48, 48
0.12128, 0.0144628, -0.079783, 47, 46
0.0433882, -0.0560541, -0.0490836, 46, 47
-0.00443154, -0.000989307, -0.0491524, 49, 49
-0.0429646, 0.0925391, 0.0370238, 47, 47
0.0434909, -0.024196, -0.0329123, 47, 48
-0.0981776, -0.0237276, -0.00354917, 53, 53
0.0437915, -0.03985, -0.00233978, 42, 41
0.0671918, 0.0066987, 0.0227375, 49, 49
0.0360497, 0.039056, 0.101203, 49, 49
-0.0185856, -0.055629, -0.00302716, 47, 47
0.0354286, -0.0237892, 0.0222342, 47, 48
0.00492065, -0.070169, 0.0216342, 49, 48
0.0669066, -0.0399941, -0.0168509, 47, 46
0.0276025, -0.000889436, -0.025539, 48, 49
-0.0111267, 0.0851364, 0.0372698, 47, 47
-0.0111228, 0.00683417, 0.0220105, 47, 48
0.0203938, 0.00656605, -0.00960298, 48, 47
0.0440453, -0.0164152, 0.0297269, 49, 51
0.0668807, -0.0241138, -0.0167427, 47, 45
0.0280572, -0.00910828, 0.0222656, 47, 47
0.0980159, -0.0637961, -0.0964858, 49, 49
0.0120078, 0.0691233, 0.02265, 47, 48
0.0274897, 0.0614291, -0.025115, 49, 49
0.00440259, -0.0326062, -0.0259714, 47, 46
0.027559, -0.0241269, -0.0330616, 48, 48
0.034999, -0.1183, -0.0422239, 48, 47
0.00425447, -0.0327148, -0.0419258, 50, 50
0.0589064, -0.0477793, -0.0881507, 45, 45
0.0350694, -0.0790774, -0.0260039, 47, 48
0.12214, -0.141483, -0.0170307, 48, 48
0.0992228, -0.0788285, 0.029814, 52, 53
0.0910445, -0.0932031, 0.0689068, 45, 44
0.0352517, -0.0557153, -0.00252755, 46, 45
0.0199808, -0.0475789, -0.0651952, 48, 48
0.0901223, -0.0241402, -0.0165273, 47, 47
0.074981, -0.0562575, -0.0721066, 48, 48
0.113912, -0.0564947, -0.0962882, 47, 47
-0.0664719, -0.000617516, -0.0104593, 50, 51
-0.00526832, -0.0713036, -0.15149, 44, 44
-0.0279073, -0.00109142, -0.0726868, 50, 50
-0.0349529, -0.0938311, -0.0586602, 46, 46
-0.0345964, -0.0470654, -0.0104813, 48, 48
0.0663242, -0.0477546, -0.0807184, 47, 47
-0.0825085, -0.0165674, -0.02667, 48, 48
-0.00433712, 0.0615041, -0.025411, 47, 47
0.0274091, 0.0222243, -0.0413356, 48, 48
-0.0185546, 0.0924381, 0.0298877, 48, 48
0.0119067, 0.0384807, 0.00648732, 47, 47
-0.0350477, 0.0455623, -0.0417575, 50, 50
-0.0272094, 0.0532627, 0.0135871, 47, 47
-0.0590892, 0.00677613, -0.0029786, 48, 48
0.0750246, 0.0379949, -0.0481487, 46, 46
0.0511107, 0.0151881, 0.00669314, 48, 48
0.0286003, 0.00721885, 0.0849635, 46, 48
0.0986093, -0.0242153, -0.0250385, 49, 48
0.067054, -0.00926314, 0.00667404, 47, 47
0.106535, -0.0238068, 0.03762, 47, 48
0.153646, -0.133207, -0.0485857, 50, 50
0.169792, -0.0560074, -0.00864119, 46, 45
0.14496, -0.149184, -0.0647278, 52, 52
0.153671, -0.0634533, -0.0321573, 44, 43
0.184499, -0.19547, -0.0327713, 49, 49
0.15396, -0.141547, -0.0167351, 46, 46
0.254763, -0.211998, -0.110766, 49, 49
0.223729, -0.202804, -0.0250947, 46, 46
0.176553, -0.274168, -0.111917, 47, 48
0.154035, -0.23445, -0.0259585, 49, 50
0.193188, -0.273658, -0.0332251, 46, 45
0.239723, -0.250487, -0.0252713, 49, 49
0.169897, -0.0864725, -0.00148664, 46, 48
0.169502, -0.110001, -0.0482807, 48, 47
0.215899, -0.0942654, -0.0563314, 47, 47
0.169513, -0.11002, -0.04828, 49, 49
0.263212, -0.0937599, 0.031236, 46, 46
0.216373, -0.0706782, -0.000946515, 48, 48
0.255089, -0.0245916, -0.039539, 49, 49
0.145052, -0.0402018, -0.0320796, 46, 46
0.17635, -0.0333152, -0.0869605, 50, 49
0.199846, -0.0478668, -0.0635263, 46, 46
0.214716, -0.0486244, -0.173833, 49, 49
0.23862, -0.00171263, -0.0947558, 46, 46
0.246714, -0.017982, -0.148784, 48, 48
0.191385, -0.0339943, -0.181312, 47, 47
0.206606, -0.104258, -0.268773, 48, 49
0.18176, -0.0579847, -0.299367, 49, 50
0.16737, -0.0185905, -0.259965, 45, 43
0.0810543, -0.0486078, -0.205752, 49, 49
0.0972499, -0.0875796, -0.182553, 47, 47
0.0111847, -0.0170781, -0.0810231, 48, 49
-0.0123547, 0.0292184, -0.10424, 47, 47
