#x, y, z, milliseconds, timeInMilliseconds
422.55, 464.4, -77.1, 220, 220
421.35, 462.45, -77.85, 218, 218
420.15, 464.4, -77.55, 220, 220
421.35, 462.9, -79.35, 219, 219
421.2, 462.3, -78.45, 223, 223
418.65, 462.9, -79.05, 217, 217
420.45, 462.6, -79.2, 219, 219
419.85, 462.45, -79.05, 220, 220
420.6, 461.25, -77.55, 229, 230
421.35, 460.5, -78.6, 211, 210
420.15, 461.25, -78.6, 218, 218
420.6, 462.9, -78.6, 220, 220
420.9, 462.9, -76.65, 220, 220
419.25, 461.1, -76.2, 219, 219
419.4, 461.7, -77.55, 221, 221
419.55, 463.05, -78, 218, 218
419.4, 461.25, -79.8, 220, 220
418.65, 461.7, -77.55, 220, 220
418.35, 463.35, -77.7, 227, 228
418.35, 461.85, -77.25, 212, 211
418.65, 462.9, -77.1, 218, 218
419.25, 461.85, -78, 220, 220
418.2, 462.9, -76.35, 220, 219
417, 460.95, -76.35, 219, 220
417.15, 460.65, -75.45, 220, 220
416.4, 458.4, -73.8, 219, 219
414.3, 458.25, -74.1, 220, 219
414, 457.65, -73.05, 219, 219
413.1, 458.25, -74.85, 229, 229
411.6, 456, -71.55, 211, 211
414.9, 457.2, -72.75, 220, 220
413.4, 457.05, -72.45, 218, 218
413.25, 455.7, -71.55, 220, 220
413.25, 456, -73.05, 219, 219
413.7, 457.2, -73.8, 221, 220
414, 456.45, -75, 220, 220
415.5, 456.6, -72.9, 218, 218
412.5, 453, -72.3, 220, 220
416.85, 455.25, -72, 227, 231
423.15, 462.6, -75.75, 213, 210
417.75, 460.5, -77.55, 218, 217
419.55, 460.65, -77.25, 220, 220
412.8, 454.95, -73.5, 220, 220
408.15, 446.4, -72.3, 219, 219
406.65, 447.3, -74.1, 220, 221
406.65, 447.75, -74.85, 219, 218
406.65, 445.05, -72.45, 219, 220
407.7, 451.8, -72.3, 220, 220
405, 450.6, -76.2, 228, 229
404.1, 449.85, -76.2, 212, 211
